Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",0402,5,100n,C1525
C10,0402,1,1u,C52923
C11,0805,1,22u,C45783
C12,0603,1,22u,C59461
C6,0402,1,10u,C15525
"C7, C8",0402,2,10p,C32949
C9,0402,1,2u2,C12530
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C2765186
"J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J28, J29, J30","TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal",15,Conn_01x06_Pin,C5188446
"R1, R3, R4, R5, R6",0402,5,5k1,C25905
R2,0402,1,510,C25123
U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,1,STM32F411CEUx,C60420
U2,SOT-23-6,1,SRV05-4,C7420376
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C13738
